japanese,kana,english
トムはいびきをかいている。,トム は いびき を かいている。,Tom is snoring.
われわれは暑さで汗をかいていた。,われわれ は あつさ で あせ を かいていた。,We were sweating in the heat.
猫が窓を引っかいているのが聞こえる。,ねこ が まど を ひっかいている の が きこえる。,I can hear a cat scratching at the window.
風邪をひいてるんだ。,かぜ を ひいてる ん だ。,I've caught a cold.
彼は風邪をひいている。,かれ は かぜ を ひいている。,He has a cold.
風邪をひいて熱がある。,かぜ を ひいて ねつ が ある。,"I caught a cold, and I have a fever."
私は今風邪をひいている。,わたし は こん かぜ を ひいている。,I have a cold now.
彼は今かぜをひいている。,かれ は こん かぜ を ひいている。,He has a cold now.
トムは風邪をひいている。,トム は かぜ を ひいている。,Tom is suffering from a cold.
ケイトは風邪をひいている。,ケイト は かぜ を ひいている。,Kate has a cold.
手前にひいて開けてください。,てまえ に ひいて あけてください。,Pull it open.
私は昨日は風邪をひいて寝ていた。,わたし は きのう は かぜ を ひいて ねていた。,I caught a cold and was in bed yesterday.
彼女はヒドイ鼻かぜをひいている。,かのじょ は ヒドイ はなかぜ を ひいている。,She has a bad head cold.
風邪をひいていたので、学校を休んだ。,かぜ を ひいていた ので、がっこう を やすんだ。,I was absent from school because I had a cold.
テストでは辞書をひいてはいけません。,テスト では じしょ を ひいてはいけません。,Consulting a dictionary is not allowed during the exam.
彼女は風邪をひいて、学校を休んでいる。,かのじょ は かぜ を ひいて、がっこう を やすんでいる。,She has a cold and is absent from school.
彼はかぜをひいて仕事を休まなければならなかった。,かれ は かぜ を ひいて しごと を やすまなけれ ばならなかった。,He came down with a cold and had to be away from work.
乞食は選択者にはなれない。,こじき は せんたくしゃ には なれない。,Beggars can't be choosers.
私は彼の話を信じる気にはなれない。,わたし は かれ の はなし を しんじる き には なれない。,I can't bring myself to trust his story.
彼は私のいるのに気づいてうなずいた。,かれ は わたし の いる の に きづいて うなずいた。,He acknowledged my presence with a nod.
その太った女性は猿を抱きかかえていた。,その ふとった じょせい は さる を いだきかかえていた。,The fat woman was holding a monkey.
彼女は表紙がボロボロの本をかかえていた。,かのじょ は ひょうし が ボロボロ の ほん を かかえていた。,She had the book with a torn cover under her arm.
トムは私の２列前にすわっていた。,トム は わたし の ２れつ まえ に すわっていた。,Tom sat two rows ahead of me.
彼女は十年間今の地位に居すわっている,かのじょ は じゅうねんかん いま の ちい に いすわっている,She has remained in her present position for ten years.
彼は本を読みながらよく何時間もすわっている。,かれ は ほん を よみながら よく なんじかん も すわっている。,He often sits for many hours reading books.
彼女にお目にかかりたい。,かのじょ に おめにかかりたい。,I'd like to see her.
私の事務所でお目にかかりたいのですが。,わたし の じむしょ で おめにかかりたい の です が。,I'd like to see you in my office.
以前からお目にかかりたいと思っていました。,いぜん から おめにかかりたい と おもっていました。,I've always wanted to meet you.
彼らは川で泳いでません。,かれら は かわ で およいで ません。,They aren't swimming in the river.
僕も『戦争と平和』は読んでません。,ぼく も『せんそう と へいわ』は よんで ません。,"I haven't read ""War and Peace"" either."
どういたしました。,どう いたしました。,You are welcome.
大変失礼いたしました。,たいへん しつれいいたしました。,I'm terribly sorry.
昨日は失礼いたしました。,きのう は しつれいいたしました。,I'm sorry about yesterday.
しかるべき時期にお支払いいたしました。,しかるべき じき に お しはらい いたしました。,I paid at the appropriate time.
はい、いただきましたー！,はい、いただきました ー！,"Yes, I received it!"
彼女は夫をころした容疑で裁判にかけられた。,かのじょ は おっと を ころした ようぎ で さいばん に かけられた。,She went on trial charged with murdering her husband.
昨日はでかけないで読書で日を過ごした。,きのう は でかけない で どくしょ で ひ を すごした。,I spent yesterday reading instead of going out.
聞こえませんよ。,きこえません よ。,I can't hear you.
私は何も見えません。,わたし は なに も みえません。,I don't see anything.
物がよく見えません。,もの が よく みえません。,I can't see well.
彼はうまく歌えません。,かれ は うまく うたえません。,He can't sing well.
どいてもらえませんか。,どいてもらえません か。,Could you please move out of my way?
月の裏側は見えません。,つき の うらがわ は みえません。,We can't see the other side of the moon.
よく聞こえませんでした。,よく きこえませんでした。,I didn't hear you.
手伝ってもらえませんか。,てつだってもらえません か。,Will you please help me?
私は物がよく見えません。,わたし は もの が よく みえません。,I can't see well.
忙しいので手伝えません。,いそがしい ので てつだえません。,I can't help you because I am busy.
雑音で何も聞こえません。,ざつおん で なに も きこえません。,I can't hear anything because of the noise.
塩を取ってもらえませんか。,しお を とってもらえません か。,"Pass me the salt, will you?"
道路地図をもらえませんか。,どうろ ちず を もらえません か。,"May I have a road map, please?"
値引きしてもらえませんか。,ねびき してもらえません か。,Could you give me a discount?
道を教えてもらえませんか。,みち を おしえてもらえません か。,Will you please show me the way?
ドアを閉めてもらえませんか。,ドア を しめてもらえません か。,Will you please shut the door?
住所を教えてもらえませんか。,じゅうしょ を おしえてもらえません か。,Can you tell me your address?
この口が裂けても言えません！,この くち が さけても いえません！,I will never tell!
お皿を洗ってもらえませんか？,お さら を あらってもらえません か？,"Could you do the dishes, please?"
お願いを聞いてもらえませんか。,おねがい を きいてもらえません か。,Could you do me a favor?
春になった。,はる に なった。,Spring is here.
亡くなった。,なくなった。,He died.
忙しくなった。,いそがしく なった。,I got busy.
雪がなくなった。,ゆき が なくなった。,The snow has disappeared.
大きくなったね。,おおきく なった ね。,How you've grown!
風が強くなった。,かぜ が つよく なった。,The wind grew stronger.
雨は雪になった。,あめ は ゆき に なった。,The rain became snow.
トムは首になった。,トム は くび に なった。,Tom lost his job.
天気が悪くなった。,てんき が わるく なった。,The weather turned bad.
頭痛が無くなった。,ずつう が なくなった。,My headache has gone.
彼は不安になった。,かれ は ふあん に なった。,He felt uneasy.
彼は捕虜になった。,かれ は ほりょ に なった。,He was held in captivity.
彼は無罪になった。,かれ は むざい に なった。,He was acquitted.
彼らは輪になった。,かれら は わ に なった。,They formed themselves into a circle.
彼は有名になった。,かれ は ゆうめい に なった。,He became famous.
トムは赤くなった。,トム は あかく なった。,Tom blushed.
仕事クビになった。,しごと クビ に なった。,I was fired.
きれいになったね。,きれい に なった ね。,You're much prettier than I remember.
信号青になったよ。,しんごう あお に なった よ。,The light turned green.
彼は金持ちになった。,かれ は かねもち に なった。,He became rich.
旅行をつづけてもいいですか。,りょこう を つづけても いい です か。,Can I continue my trip?
四時間以上も歩きつづけています。,よんじかん いじょう も あるきつづけています。,I have been walking for over four hours.
彼は危険にひるんだりはしない。,かれ は きけん に ひるん だりは しない。,He never shrinks from danger.
辞書貸してくれない？,じしょ かしてくれない？,Will you lend me your dictionary?
ボートをくれないか。,ボート を くれない か。,Can you give me a boat?
迎えに来てくれない？,むかえ に きてくれない？,Can you come pick me up?
外してくれないかな。,はずしてくれない かな。,I want you out of here.
メアド教えてくれない？,メアド おしえてくれない？,Would you tell me your email address?
友達になってくれない？,ともだち に なってくれない？,Do you want to become friends?
この本預かってくれない。,この ほん あずかってくれない。,May I leave this book with you?
１ドル貸してくれないか。,１ドル かしてくれない か。,Can you spare a buck?
彼はまだ返事をくれない。,かれ は まだ へんじ を くれない。,He hasn't answered my letter yet.
列車は待ってはくれない。,れっしゃ は まってはくれない。,The train didn't wait for me.
7時に起こしてくれない？,7じ に おこしてくれない？,Could you wake me up at seven?
ちょっと手伝ってくれない？,ちょっと てつだってくれない？,Can you help me a little?
恋人は私を愛してくれない。,こいびと は わたし を あいしてくれない。,My lover doesn't love me.
どうして信じてくれないの？,どうして しんじてくれない の？,Why don't you believe me?
それを翻訳してくれないか？,それ を ほんやく してくれない か？,Could you translate that for me?
お茶を一杯入れてくれないか。,おちゃ を いっぱい いれてくれない か。,How about making me a cup of tea?
財布探すの手伝ってくれない？,さいふ さがす の てつだってくれない？,Will you help me look for my purse?
英語の宿題手伝ってくれない？,えいご の しゅくだい てつだってくれない？,Will you help me with my English homework?
ちょっと補助してくれないか？,ちょっと ほじょ してくれない か？,Won't you give me a spot?
ごめん、ペン貸してくれない？,ごめん、ペン かしてくれない？,"Excuse me, may I borrow a pen?"
それを雨にさらすな。,それ を あめ に さらす な。,Don't expose it to the rain.
飲みすぎで健康を危険にさらすな。,のみすぎ で けんこう を きけん に さらす な。,Don't risk your health by over drinking.
トムはさった。,トム は さった。,Tom left.
喉に刺さった棘の如く。,のど に ささった とげ の しく。,Like a thorn stuck in your throat.
喉に刺さった棘みたいに。,のど に ささった とげ みたい に。,Like a thorn stuck in your throat.
いつ結婚なさったのです？,いつ けっこん なさった の です？,When did you get married?
魚の骨が喉に刺さったみたい。,さかな の ほね が のど に ささった みたい。,It looks like a fish bone got stuck in my throat.
ボストンでは何をなさったんですか？,ボストン では なに を なさった ん です か？,What were you doing in Boston?
質問に対しては親切に答えて下さった。,しつもん にたいしては しんせつ に こたえてくださった。,He kindly answered questions.
ホワイト博士が我々の通訳をして下さった。,ホワイト はかせ が われわれ の つうやく を してくださった。,Dr. White acted as our interpreter.
今日あなたがしてくださったことに感謝しています。,きょう あなた が してくださった こと に かんしゃ しています。,I appreciate what you did today.
昨日あなたがしてくださったことに感謝しています。,きのう あなた が してくださった こと に かんしゃ しています。,I appreciate what you did yesterday.
国王が私達の市を訪問なさったのは、大変な名誉です。,こくおう が わたしたち の し を ほうもん なさった の は、たいへん な めいよ です。,It's a great honor to have had the King visit our city.
やめた。,やめた。,I quit.
トムはやめた。,トム は やめた。,Tom quit.
彼は急にやめた。,かれ は きゅう に やめた。,He quit without notice.
彼は話をやめた。,かれ は はなし を やめた。,He stopped talking.
彼は喫煙をやめた。,かれ は きつえん を やめた。,He gave up cigarettes.
彼は煙草をやめた。,かれ は たばこ を やめた。,He gave up cigarettes.
彼は無断でやめた。,かれ は むだん で やめた。,He quit without notice.
彼らは話をやめた。,かれら は はなし を やめた。,They stopped talking.
彼女は話をやめた。,かのじょ は はなし を やめた。,She stopped talking.
なぜやめたのですか。,なぜ やめた の です か。,Why did you quit?
父はタバコをやめた。,ちち は タバコ を やめた。,My father stopped smoking.
彼はたばこをやめた。,かれ は たばこ を やめた。,He gave up cigarettes.
彼女は学校をやめた。,かのじょ は がっこう を やめた。,She dropped out of school.
トムは煙草をやめた。,トム は たばこ を やめた。,Tom quit smoking.
彼は突然話をやめた。,かれ は とつぜん はなし を やめた。,He suddenly stopped talking.
トムは行動をやめた。,トム は こうどう を やめた。,Tom stopped what he was doing.
学校をやめたいです。,がっこう を やめたいです。,I want to leave school.
学校、やめたいんだ。,がっこう、やめたい ん だ。,I want to leave school.
いつタバコやめたの？,いつ タバコ やめた の？,When did you quit smoking?
なぜ仕事をやめたのか。,なぜ しごと を やめた の か。,Why did he quit his job?
私の悪性のかぜがなおった。,わたし の あくせい の かぜ が なおった。,I have recovered from my bad cold.
彼女は私たちに日本の歌をうたってくれた。,かのじょ は わたしたち に にっぽん の うた を うたってくれた。,She sang a Japanese song for us.
両天びんにかけようたってそうはいきませんよ。,りょう てんびん に かけよう たって そう は いきません よ。,You can't have it both ways.
これは若木だからまだ実はみのらない。,これ は わかぎ だ から まだ じつは みのらない。,This tree is too young to bear fruit.
やっと二人になれたね。,やっと ににん に なれた ね。,The two of us are finally alone.
鳥になれたらいいのになぁ。,とり に なれたら いい のになぁ。,I wish I were a bird.
やっと二人っきりになれたね。,やっと ににんっきり に なれた ね。,The two of us are finally alone.
夫に死なれた女性は未亡人と呼ばれる。,おっと に しなれた じょせい は みぼうじん と よばれる。,A woman whose husband is dead is called a widow.
彼女と友達になれた時は、それはうれしかったですよ。,かのじょ と ともだち に なれた とき は、それ は うれしかっ たです よ。,I was overjoyed when I was able to make friends with her!
訴えてやる！,うったえてやる！,I'll sue you.
将棋でもやる？,しょうぎ でも やる？,Do you want to play shogi?
こらしめてやる。,こらしめてやる。,I'm gonna shoot him.
彼はやる気がない。,かれ は やるき が ない。,He lacks motivation.
残りは僕がやるよ。,のこり は ぼく が やる よ。,I'll do the rest.
私は犬に水をやる。,わたし は いぬ に みず を やる。,I give water to the dog.
君におごってやるよ。,きみ に おごってやる よ。,I'll treat you.
トムはやる気がない。,トム は やるき が ない。,Tom lacks motivation.
まあゆっくりやるよ。,まあ ゆっくり やる よ。,"Well, I'll take my time."
いつか負かしてやる！,いつか まかしてやる！,Someday I'll beat you.
私は大やる気が出る。,わたし は だい やるき が でる。,I'm very motivated.
俺は彼を射殺してやる。,おれ は かれ を しゃさつ してやる。,I'm gonna shoot him.
いいことを教えてやる。,いい こと を おしえてやる。,I'll tell you a secret.
私がちゃんとやるから。,わたし が ちゃんと やるから。,I'll fix it up all right.
今日にやるんでしょう？,きょう に やる ん でしょう？,You'll do it today right?
その仕事は明日やるよ。,その しごと は あした やる よ。,I'll do the work tomorrow.
いや、やる気はないな。,いや、やるき は ない な。,I do not feel like doing it.
午後にそれをよくやる。,ごご に それ を よく やる。,I often do that in the evening.
今日はやる気が足りない。,きょう は やるき が たりない。,Today I'm lacking inspiration.
あなたはなかなかやるね。,あなた は なかなか やる ね。,You're pretty good.
働かざる者食うべからず。,はたらかざる もの くうべからず。,"He who does not work, does not have the right to eat."
働かざるもの食うべからず。,はたらかざる もの くうべからず。,One who does not work should not eat.
働かざるものは食うべからず。,はたらかざる もの は くうべからず。,"If you don't work, you shouldn't eat."
"見ざる, 聞かざる, 言わざる。","みざる , きかざる , いわざる。","See no evil, Hear no evil, Speak no evil."
我々のうちの１人が行かざるを得ないだろう。,われわれ の うち の １にん が いかざる を えないだろう。,One of us will have to go.
子どもであっても善悪の区別はできる。,こども であっ ても ぜんあく の くべつ は できる。,"Even tough he's a child, he knows the difference between right and wrong."
ボブがなぐったのは私であって彼女ではない。,ボブ が なぐった の は わたし であっ て かのじょ では ない。,"Bob hit me, not her."
彼女が愛しているのはトムであって、私でない。,かのじょ が あいしている の は トム であっ て、わたし でない。,"She loves Tom, not me."
楽しんでますか。,たのしんで ます か。,Are you enjoying yourself?
おじと住んでます。,おじ と すんで ます。,I live with my uncle.
休暇は楽しんでますか。,きゅうか は たのしんで ます か。,Are you enjoying the holidays?
喉が痛くて、鼻水もでます。,のど が いたく て、はなみず も でます。,I have a sore throat and runny nose.
この道を行けば駅にでますよ。,この みち を いけば えき に でます よ。,This road will take you to the station.
私は言語いっぱい学んでます。,わたし は げんごいっぱい まなんで ます。,I'm learning lots of languages.
あなた、私のカップから飲んでますよ。,あなた、わたし の カップ から のんで ます よ。,You're drinking out of my cup.
急いだ方がいいですよ。列車は３時にでます。,いそいだ ほう が いい です よ。れっしゃ は ３じ に でます。,You had better hurry. The train leaves at three.
ダイエット中脱力感がでます、どうすればよい？,ダイエットちゅう だつりょくかん が でます、どう すれば よい？,"I feel lethargic when I diet, what should I do?"
トムさんはありふれたカナダ人です。,トムさん は ありふれた カナダじん です。,Tom is a typical Canadian.
生徒が朝を抜いて登校するのはありふれたことだ。,せいと が あさ を ぬいて とうこう する の は ありふれた こと だ。,It is common for students to skip breakfast before going to school.
私は彼を敵とみなす。,わたし は かれ を てき と みなす。,I regard him as an enemy.
仕事中毒者は休日を時間の無駄とみなす。,しごと ちゅうどくしゃ は きゅうじつ を じかん の むだ と みなす。,Workaholics view holidays as a waste of time.
そうは問屋がおろさない。,そう は とんや が おろさない。,You won't get it so easily.
