Word,Reading,Meaning
大手,"おおて, おおで","front castle gate; both arms open, outstretched arms; major companies"
大蔵省,おおくらしょう,(former) Ministry of Finance (succeeded by zaimushou in 2000)
大統領,だいとうりょう,"president, chief executive"
大幅,おおはば,"full width, large scale, drastic"
十,"じゅう, と, とお","10, ten"
十一,"じゅういち, ジュウイチ","11, eleven; Hodgson's hawk-cuckoo (Cuculus fugax)"
十一月,じゅういちがつ,November
十九,じゅうきゅう,"19, nineteen"
十月,じゅうがつ,October
十五,じゅうご,"15, fifteen"
十三,じゅうさん,"13, thirteen"
十二,じゅうに,"12, twelve"
十二月,じゅうにがつ,December
十八,じゅうはち,"18, eighteen"
二,"に, ふた, ふ, ふう",two
二つ,ふたつ,two
十二,じゅうに,"12, twelve"
十二月,じゅうにがつ,December
二月,にがつ,February
二人,"ふたり, ににん","two persons, two people, pair, couple"
二百,にひゃく,"two hundred, 200"
二死,にし,"two out (e.g. in baseball), two down (and one to go)"
二塁,にるい,second base
二塁打,にるいだ,"two-base hit, double"
基本,きほん,"foundation, basis, standard"
日本人,"にほんじん, にっぽんじん","Japanese person, Japanese people"
本社,"ほんしゃ, ほんじゃ","head office, main office, headquarters; main shrine; this company, this shrine"
本部,ほんぶ,headquarters
本の,ほんの,"mere, only, just"
日本語,"にほんご, にっぽんご",Japanese (language)
本会議,ほんかいぎ,"plenary session, regular session"
本人,ほんにん,the person himself
本当,"ほんとう, ほんと","truth, reality"
本塁打,ほんるいだ,home run (baseball)
中央,ちゅうおう,"centre, central, center, middle"
中国,ちゅうごく,"China; South-west most region of Honshu, middle of a country, the Hiroshima area"
中心,ちゅうしん,"center, centre, middle, heart, core, focus, pivot, emphasis, balance"
中でも,なかでも,"among (other things), inter alia; above all (else)"
中間,ちゅうかん,"middle, midway, interim"
中東,ちゅうとう,Middle East
途中,とちゅう,"on the way, en route; in the middle of, midway"
集中,しゅうちゅう,"concentration, convergence, centralization, integration, gathering together"
中学,ちゅうがく,"middle school, junior high school"
中学生,ちゅうがくせい,"junior high school student, middle school pupil"
出す,だす,"to take out, to get out; to put out, to reveal, to show; to submit (e.g. thesis), to turn in; to publish, to make public; to send (e.g. letter); to produce (a sound), to start (fire); to serve (food); to begin"
出身,しゅっしん,"person's origin (town, city, country, etc.); institution from which one graduated; director in charge of employee relations"
輸出,"ゆしゅつ, しゅしゅつ",export; efferent (medical)
出場,しゅつじょう,"(stage) appearance, participation, performance"
進出,しんしゅつ,"advance, step forward"
出,で,"coming out, going out, outflow, efflux, rising (of the sun or moon); attending (work), appearing (on stage), one's turn to go on; start, beginning; origins, background, person (or item) originating from ..., graduate of ..., native of ..., member of ... (lineage); architectural member that projects outward; highest point of the stern of a ship; amount (comprising something), amount of time or effort required to do something"
演出,えんしゅつ,"production (e.g. play), direction"
出演,しゅつえん,"performance, stage appearance; to act (in a play)"
出席,しゅっせき,"attendance, presence, appearance; to attend, to be present, to appear"
出馬,しゅつば,going on horseback; going in person; running for election
三,"さん, み",three
三つ,みっつ,three
三月,さんがつ,March
三人,"さんにん, みたり",three people
十三,じゅうさん,"13, thirteen"
三十,"さんじゅう, みそ",thirty
三千,さんぜん,3000; many
三百,さんびゃく,"300, three hundred; 300 mon, trifling amount, two-bit item; shyster"
三十日,"みそか, つごもり, みそ",last day of month
三塁,さんるい,third base
意見,いけん,"opinion, view"
会見,かいけん,"interview, audience"
見直し,みなおし,"review, reconsideration, revision"
見方,みかた,viewpoint
見通し,みとおし,"perspective, unobstructed view, outlook, forecast, prospect, insight, foresight, visibility"
見解,けんかい,"opinion, point of view"
見込み,みこみ,"forecast, prospects, expectation, hope"
発見,はっけん,"discovery, detection, finding"
見事,みごと,"splendid, magnificent, beautiful, admirable; praiseworthy act, feat, commendable deed"
見つかる,みつかる,"to be found, to be discovered"
一月,いちがつ,January
九月,くがつ,September
五月,ごがつ,May
今月,こんげつ,this month
三月,さんがつ,March
四月,しがつ,April
七月,しちがつ,July
十一月,じゅういちがつ,November
十月,じゅうがつ,October
十二月,じゅうにがつ,December
生きる,いきる,"to live, to exist"
学生,がくせい,student (esp. a university student)
生活,せいかつ,"living, life (one's daily existence), livelihood"
生産,せいさん,"production, manufacture"
厚生省,こうせいしょう,"Ministry of Health and Welfare (now Ministry of Health, Labour and Welfare)"
新生,しんせい,"rebirth, new birth, nascent"
人生,じんせい,(human) life (i.e. conception to death)
生徒,せいと,pupil
先生,せんせい,"teacher, master, doctor; with names of teachers, etc. as an honorific"
年生,ねんせい,"pupil in ... year, student in ... year"
五,"ご, いつ, い",five
五月,ごがつ,May
十五,じゅうご,"15, fifteen"
五輪,ごりん,the Olympics
五十,"ごじゅう, いそ, い",fifty
五つ,いつつ,five
五分,ごぶ,"half, 50%, tie, evenness; 5 parts, 5%"
五十三次,ごじゅうさんつぎ,the 53 Toukaidou stages
五感,ごかん,the five senses
五十音,ごじゅうおん,the Japanese syllabary
上がったり,あがったり,"doomed, in a bad state, poor (e.g. business)"
史上,しじょう,historical
事実上,じじつじょう,"(as a) matter of fact, actually, in reality"
上げ,あげ,"rise in price, making a tuck"
上昇,じょうしょう,"rising, ascending, climbing"
向上,こうじょう,"elevation, rise, improvement, advancement, progress"
上がり,あがり,"ascent, rise, slope; freshly-drawn green tea (esp. in sushi shops); advance income, crop yield; death, spinning, completion, stop, finish; after (rain), ex (official, etc.); (end) results (e.g. of crafts like painting, pottery, etc.), how something comes out"
上位,じょうい,superior (rank not class); higher order (e.g. byte); host computer (of connected device)
地上,ちじょう,above ground
途上国,とじょうこく,developing country
四,"よん, し, よ",four
四つ,よっつ,four
四月,しがつ,April
十四,"じゅうし, じゅうよん","14, fourteen"
四十,"よんじゅう, しじゅう, よそ",forty
四百,よんひゃく,four hundred
四球,しきゅう,"four balls, base on balls (baseball), a walk"
四千,よんせん,four thousand
四十七士,しじゅうしちし,The 47 Ronin
四半期,しはんき,quarter (of a year)
お金,おかね,money
金融,きんゆう,"financing, credit transacting, loaning of money, circulation of money"
金利,きんり,interest rates
献金,けんきん,"donation, contribution, offering"
資金,しきん,"funds, capital"
基金,ききん,"fund, foundation"
年金,ねんきん,"annuity, pension"
料金,りょうきん,"fee, charge, fare"
金額,きんがく,amount of money
金融機関,きんゆうきかん,"financial institutions, banking facilities"
九,"きゅう, く, ここの, この, ここ",nine
九月,くがつ,September
十九,じゅうきゅう,"19, nineteen"
九州,きゅうしゅう,Kyushu (southernmost of the four main islands of Japan)
九十,"きゅうじゅう, くじゅう",ninety
九九,くく,"multiplication table, times table"
九つ,ここのつ,nine
一一九番,ひゃくじゅうきゅうばん,ambulance and fire brigade emergency tel. no. (in Japan)
千九百年代,せんきゅうひゃくねんだい,the 1900s
九重,ここのえ,"ninefold, imperial palace, the Court"
入り,いり,"entering; setting (of the sun); containing, content, audience; income; beginning"
輸入,"ゆにゅう, しゅにゅう","importation, import, introduction"
購入,こうにゅう,"purchase, buy"
収入,しゅうにゅう,"income, receipts, revenue"
導入,どうにゅう,"introduction, bringing in, leading in, installation"
介入,かいにゅう,intervention
受け入れ,うけいれ,"receiving, acceptance"
入札,にゅうさつ,"bid, bidding"
加入,かにゅう,"becoming a member, joining, entry, admission, subscription, affiliation, adherence, signing"
参入,さんにゅう,"coming, visiting, going"
学校,がっこう,school
学生,がくせい,student (esp. a university student)
大学,だいがく,"post-secondary education institution, incl. university, college, etc.; the Great Learning - one of the Four Books"
医学,いがく,"medical science, medicine"
科学,かがく,science
学部,がくぶ,"department of a university; undergraduate (course, program, etc.)"
文学,ぶんがく,literature
学,がく,"learning, scholarship, erudition, knowledge"
学園,がくえん,"academy, campus"
学者,がくしゃ,scholar
円,"えん, まる","Yen, money; circle"
円高,えんだか,"high-valued yen, exchange in favor (favour) of the yen"
円安,えんやす,cheap yen
円相場,えんそうば,yen exchange rate
一円,いちえん,"whole district, one yen, throughout"
円滑,"えんかつ, えんこつ","smooth, undisturbed, uninterrupted, harmonious"
円形,"えんけい, まるがた","round shape, circle; circular form"
円卓,えんたく,round table
円満,えんまん,"perfection, harmony, peace, smoothness, completeness, satisfaction, integrity"
円筒,えんとう,cylinder
子,こ,"child; young (animal); young woman, young geisha; offshoot; interest; new shares; bird egg; (after a noun or -masu stem) -er (often of young women)"
子供,こども,"child, children"
女子,"じょし, おなご","woman, girl"
男子,だんし,"youth, young man"
原子力,げんしりょく,atomic energy
様子,ようす,"aspect, state, appearance"
息子,"むすこ, そく",son; penis
金子,きんす,"money, funds"
甲子,かっし,first of the sexagenary cycle
遺伝子,いでんし,"gene, genetic"
八,"はち, や",eight
十八,じゅうはち,"18, eighteen"
八月,はちがつ,August
八十,"はちじゅう, やそ",eighty
三十八度線,さんじゅうはちどせん,the Thirty-eighth Parallel
百八十度,ひゃくはちじゅうど,"180 degrees, complete change"
八幡,はちまん,Hachiman (God of War); Hachiman shrine; certainly
十八番,"じゅうはちばん, おはこ","No. 18, eighteenth; repertoire of 18 kabuki plays; one's favourite stunt (favorite), one's specialty"
八重,やえ,"multilayered, doubled"
八分音符,はちぶおんぷ,8th note
六,"ろく, む, むう",six
六月,ろくがつ,June
六十,"ろくじゅう, むそ",sixty
六十四分音符,ろくじゅうしぶおんぷ,64th note
十六,じゅうろく,"16, sixteen"
六角,ろっかく,hexagon
四六時中,しろくじちゅう,"around the clock, day and night (Note: 4 x 6 = 24)"
六つ,"むっつ, むつ",six
一六銀行,いちろくぎんこう,pawnshop
一六勝負,いちろくしょうぶ,"gambling, speculation"
下,もと,under (esp. influence or guidance)
下げる,さげる,"to hang, to lower, to move back, to wear, to dismiss, to grant"
引き下げ,ひきさげ,"reduction, cut"
下り,くだり,"down-train (going away from Tokyo); down-slope, downward going"
下院,かいん,"lower house, lower (legislative) body"
下車,げしゃ,"alighting (from train, bus, etc.), getting off"
地下,ちか,"basement, cellar, underground place; underground, below ground; secret, under cover; underground (railway), subway, metro"
低下,ていか,"fall, decline, lowering, deterioration, degradation"
以下,"いか, いげ","not exceeding, and downward, ... and below; below (e.g. standard), under (e.g. a level); the below-mentioned, the following, the rest"
殿下,"でんか, てんが","your Highness, his (or her) Highness"
気,き,"spirit, mind, heart; nature, disposition; motivation, intention; mood, feelings; atmosphere, essence"
景気,けいき,"condition, state, business (condition)"
人気,にんき,"popular, popular feeling, business conditions"
気持ち,きもち,"feeling, sensation, mood"
電気,でんき,electricity; (electric) light
病気,びょうき,"illness, disease, sickness"
一気,いっき,drink! (said repeatedly as a party cheer)
気分,きぶん,"feeling, mood"
空気,くうき,"air, atmosphere"
雰囲気,ふんいき,"atmosphere (e.g. musical), mood, ambience, ambiance"
小選挙区,しょうせんきょく,"small electoral district, single-member constituency"
小学校,しょうがっこう,"primary school, elementary school, grade school"
小説,しょうせつ,"novel, (short) story"
小学生,しょうがくせい,"elementary school student, primary school student, grade school student"
中小企業,ちゅうしょうきぎょう,"small to medium enterprises, smaller companies"
小学,しょうがく,"elementary school, primary school, grade school"
小型,こがた,"small size, tiny"
縮小,しゅくしょう,"reduction, curtailment"
小川,おがわ,"streamlet, brook"
小島,こじま,"small island, islet"
七,"しち, なな, な",seven
七月,しちがつ,July
十七,"じゅうしち, じゅうなな","17, seventeen"
七十,"しちじゅう, ななじゅう, ななそ",seventy
四十七士,しじゅうしちし,The 47 Ronin
七つ,ななつ,seven
七七日,"しちしちにち, なななぬか, なななのか",49th day after death
二七日,"ふたなぬか, ふたなのか",second week's memorial services
七夕,"たなばた, しちせき","Festival of the Weaver (July 7th), Star Festival"
七回忌,しちかいき,seventh anniversary of a death
山,やま,"mountain; pile, heap; climax, critical point; speculated area covered by an examination"
火山,かざん,volcano
青山,せいざん,"blue or green mountain; grave, burial place"
山形,やまがた,mountain-shaped
登山,とざん,mountain climbing
山岳,さんがく,mountains
小山,こやま,"hill, knoll"
富士山,ふじさん,Mt Fuji
大山,たいざん,great mountain
山村,さんそん,mountain village
女,おんな,woman
女子,"じょし, おなご","woman, girl"
女性,じょせい,"woman, female; feminine gender"
男女,だんじょ,"man and woman, men and women"
彼女,かのじょ,"she, her; girl friend, girlfriend, sweetheart"
女優,じょゆう,actress
長女,ちょうじょ,eldest daughter
少女,"しょうじょ, おとめ","young lady, little girl, virgin, maiden, daughter"
女子大,じょしだい,"women's college, women's university"
女の子,"おんなのこ, おんなのコ, おんにゃのこ",girl
百,"ひゃく, もも","100, hundred"
二百,にひゃく,"two hundred, 200"
三百,さんびゃく,"300, three hundred; 300 mon, trifling amount, two-bit item; shyster"
百貨店,ひゃっかてん,(department) store(s)
百万,ひゃくまん,"1,000,000, one million; many"
四百,よんひゃく,four hundred
百億,ひゃくおく,"10,000,000,000, ten billion (American), (obs) ten milliard (British)"
数百,すうひゃく,several hundreds
百八十度,ひゃくはちじゅうど,"180 degrees, complete change"
百合,"ゆり, ユリ","lily, Lilium; comics and novels about female homosexuality"
先に,さきに,"before, earlier than, ahead, beyond, away, previously, recently"
先月,せんげつ,last month
先進国,せんしんこく,"advanced (developed) country, advanced nations"
先生,せんせい,"teacher, master, doctor; with names of teachers, etc. as an honorific"
先発,せんぱつ,"forerunner, advance party, going on ahead; being in a (team sports) match or game from the start, starting"
優先,ゆうせん,"preference, priority, precedence"
先進,せんしん,"seniority, advance, leadership"
先頭,せんとう,"head, lead, vanguard, first"
先行,せんこう,"preceding, going first, leading, going ahead, taking priority"
先週,せんしゅう,"last week, the week before"
名,な,"name, reputation"
名前,なまえ,"name, full name; given name, first name"
名誉,めいよ,"honor, honour, credit, prestige"
指名,しめい,"name, nominate, designate"
氏名,しめい,"full name, identity"
有名,ゆうめい,famous; fame
署名,しょめい,signature
本名,"ほんみょう, ほんめい",real name
名人,めいじん,"master, expert"
名簿,めいぼ,register of names
川,"かわ, がわ","river, stream; the .... river, (suffix used with the names of rivers)"
小川,おがわ,"streamlet, brook"
河川,かせん,rivers
谷川,たにがわ,mountain stream
江戸川,えどがわ,Edo River
川口,"かわぐち, かこう","mouth of river, estuary"
川上,かわかみ,upper reaches of a river
川柳,せんりゅう,comic haiku
川端,かわばた,riverbank
河川敷,"かせんしき, かせんじき",(dry) riverbed
千,"せん, ち","1,000, thousand"
三千,さんぜん,3000; many
四千,よんせん,four thousand
千代,"せんだい, ちよ","thousand years; very long period, forever"
千里,せんり,"1000 ri, (a) long distance"
千秋楽,せんしゅうらく,"concluding festivities, final day of a sumo tournament, concluding program, concluding programme"
千島,ちしま,Kurile Islands
千歳,"ちとせ, せんねん","millennium, one thousand years"
千九百年代,せんきゅうひゃくねんだい,the 1900s
何千,なんぜん,many thousands
水,みず,"water (cold, fresh)"
水準,すいじゅん,"level, standard; water level"
水道,すいどう,"water service, water supply"
水面,"すいめん, みなも, みのも",water's surface
水泳,すいえい,swimming
水田,すいでん,(water-filled) paddy field
水俣病,みなまたびょう,Minamata disease
水産,すいさん,"marine products, fisheries"
水質,すいしつ,water quality
下水道,げすいどう,"drain, sewer, drainage system"
国,くに,"country, (the) state; region; province (of Japan); home (i.e. hometown, home country); land, earth"
外国,がいこく,foreign country
外国人,がいこくじん,foreigner
韓国,かんこく,(South) Korea
国家,こっか,"state, country, nation"
国会,こっかい,"National Diet, parliament, congress"
国際,こくさい,international
国内,こくない,"internal, domestic"
国民,こくみん,"nation, nationality, people, citizen"
国連,こくれん,"UN, United Nations"
長,"ちょう, おさ","chief, head"
委員長,いいんちょう,committee chairman
会長,かいちょう,"president (of a society), chairman"
議長,ぎちょう,"chairman, speaker (e.g. of assembly), president (e.g. of council, senate, etc.), moderator (e.g. of a newsgroup)"
社長,しゃちょう,"company president, manager, director"
成長,せいちょう,"growth, grow to adulthood"
長官,ちょうかん,"secretary (government), director, chief"
長男,ちょうなん,eldest son
部長,ぶちょう,"head (chief, director) of a section or department; head of a (school) club, head of a (school) team"
延長,えんちょう,"extension, elongation, prolongation, lengthening; Enchou era (923.4.11-931.4.26)"
男,おとこ,man
男子,だんし,"youth, young man"
男性,だんせい,"man, male; masculine gender"
長男,ちょうなん,eldest son
男女,だんじょ,"man and woman, men and women"
男の子,"おとこのこ, おとこのコ","boy, male child, baby boy"
三男,さんなん,"three men, third son"
男児,だんじ,"boy, son, man"
一男,いちなん,"boy, eldest son"
男優,だんゆう,actor
時,とき,"time, hour; occasion, moment"
時間,じかん,time; hours
時期,じき,"time, season, period; soon, shortly"
時代,じだい,"period, epoch, era, age; the times, those days; oldness, ancientness, antiquity; antique, period piece"
当時,とうじ,"at that time, in those days"
同時,どうじ,"simultaneous(ly), concurrent, same time, synchronous, together"
一時,"いちじ, いっとき","one hour, short time, once, a time, temporarily, at one time, twelfth part of a day"
時事,じじ,"events of the day, current affairs"
時半,じはん,"about an hour, short time; half past (the hour)"
臨時,りんじ,"temporary, special, extraordinary"
行う,おこなう,"to perform, to do, to conduct oneself, to carry out"
行,ぎょう,"line (i.e. of text), row, verse; carya (austerities); samskara (formations); running script (a semi-cursive style of kanji)"
銀行,ぎんこう,bank
行政,ぎょうせい,administration
行動,こうどう,"action, conduct, behaviour, behavior, mobilization, mobilisation"
現行,げんこう,"present, current, in operation"
行為,こうい,"act, deed, conduct"
行方,ゆくえ,"(one's) whereabouts; course, direction"
発行,はっこう,"issue (publications), publishing; raising an event (software)"
旅行,りょこう,"travel, trip"
分け,わけ,"sharing, division; draw, tie"
分ける,わける,"to divide, to separate, to make distinctions, to differentiate (between)"
自分,じぶん,"myself, yourself, oneself, himself, herself; I, me"
部分,ぶぶん,"portion, section, part"
分野,ぶんや,"field, sphere, realm, division, branch"
十分,じゅうぶん,"plenty, enough, sufficient, satisfactory, adequate; division into ten; perfectly, thoroughly, fully, in full"
処分,しょぶん,"disposal, dealing, punishment"
半分,はんぶん,half
残った分,のこったぶん,amount left over
気分,きぶん,"feeling, mood"
後,あと,"behind, rear; after, later; after one's death; remainder, the rest; descendant, successor, heir; past/previous; more (i.e. five more minutes)"
午後,ごご,"afternoon, p.m."
後ろ,うしろ,"back, behind, rear"
今後,こんご,"from now on, hereafter"
最後,さいご,"last, end, conclusion; (after -tara form or -ta form followed by ""ga"") no sooner than, right after (often having negative consequences); one's final moments"
戦後,せんご,"postwar period, period after Second World War"
後半,こうはん,"second half, latter half"
直後,ちょくご,immediately following
後援,こうえん,"support, backing"
後継,こうけい,successor
午前,ごぜん,"morning, a.m."
前年,ぜんねん,"the preceding year, the previous year, last year"
前回,ぜんかい,"last time, last installment, last instalment, last session"
前提,ぜんてい,"preamble, premise, reason, prerequisite, condition, assumption, hypothesis"
前日,"ぜんじつ, まえび","previous day, the day before"
直前,ちょくぜん,just before
名前,なまえ,"name, full name; given name, first name"
前半,"ぜんはん, ぜんぱん",first half
以前,いぜん,"ago, since, before, previous"
事前,じぜん,"prior, beforehand, in advance"
間,あいだ,"space (between), gap, interval, distance; time (between), pause, break; span (temporal or spatial), stretch, period (while); relationship (between, among); members (within, among); due to, because of"
間もなく,まもなく,"soon, before long, in a short time; (after verb) lacking time to ..., without time to ..."
期間,きかん,"period, term, interval"
時間,じかん,time; hours
人間,にんげん,"human being, man, person; character (of a person)"
年間,ねんかん,year (period of)
民間,みんかん,"private, civilian, civil, popular, folk, unofficial"
中間,ちゅうかん,"middle, midway, interim"
仲間,なかま,"company, fellow, colleague, associate, comrade, mate, group, circle of friends, partner"
空間,くうかん,"space, room, airspace"
東,"ひがし, ひむかし, ひんがし",east
東京,とうきょう,Tokyo (current capital of Japan)
中東,ちゅうとう,Middle East
東海,とうかい,"region south of Tokyo on Pacific Ocean side of Japan, eastern sea"
東北,"とうほく, ひがしきた",north-east; Northern most six prefectures of Honshu
東欧,とうおう,Eastern Europe
東西,とうざい,"East and West; whole country; Orient and Occident, Western and Eastern; Your attention, please!"
東南,"とうなん, ひがしみなみ",south-east
東芝,とうしば,Toshiba (company)
東洋,とうよう,Orient
今,いま,"now, the present time, just now, soon, immediately, (one) more"
今や,いまや,now
今回,こんかい,"now, this time, lately"
今月,こんげつ,this month
今後,こんご,"from now on, hereafter"
今年,"ことし, こんねん",this year
今度,こんど,"now, this time, next time, another time"
今日,"こんにち, きょう, こんち, こんじつ","today, this day"
今季,こんき,this season
今春,こんしゅん,"this spring, spring this year"
高さ,たかさ,height
高校,こうこう,senior high school
最高,さいこう,"highest, supreme, the most"
円高,えんだか,"high-valued yen, exchange in favor (favour) of the yen"
高,"たか, だか","quantity, amount, volume, number, amount of money"
高い,たかい,"high, tall; expensive"
高まる,たかまる,"to rise, to swell, to be promoted"
高官,こうかん,high official
高校生,こうこうせい,senior high school student
高齢,こうれい,advanced (old) age
学校,がっこう,school
高校,こうこう,senior high school
校長,こうちょう,"principal, headmaster"
高校生,こうこうせい,senior high school student
小学校,しょうがっこう,"primary school, elementary school, grade school"
中学校,ちゅうがっこう,"junior high school, middle school, lower secondary school"
登校,とうこう,"attendance (at school), going to school"
校舎,こうしゃ,school building
同校,どうこう,same school
専門学校,"せんもんがっこう, せんもんガッコウ, せんもんガッコ","vocational school, technical school"
土,"つち, つし","earth, soil, dirt; the earth (historically, esp. as opposed to the heavens), the ground, the land; low-quality torinoko-gami (containing mud); (period of) refraining from construction in the direction of the god of the earth (in On'youdou)"
土地,とち,"plot of land, lot, soil"
領土,りょうど,"dominion, territory, possession"
土曜,どよう,Saturday
国土,こくど,"country, territory, domain, realm"
土俵,どひょう,"arena, esp. in sumo; forum (e.g. for discussion); sandbag, gabion"
土木,どぼく,public works
全土,ぜんど,"the whole nation (land, country)"
土壌,どじょう,soil
風土,ふうど,"natural features, topography, climate, spiritual features"
外,ほか,"other (esp. places and things), the rest"
海外,かいがい,"foreign, abroad, overseas"
外交,がいこう,diplomacy
外国,がいこく,foreign country
外国人,がいこくじん,foreigner
外相,がいしょう,Foreign Minister
外務省,がいむしょう,Ministry of Foreign Affairs
外務,がいむ,foreign affairs
内外,"ないがい, うちそと","inside and outside, domestic and foreign, approximately, interior and exterior"
意外,いがい,"unexpected, surprising"
木,き,"tree, wood, timber"
青木,"あおき, アオキ","Japanese laurel, spotted laurel, Aucuba japonica; live tree"
木造,もくぞう,"wooden, made of wood"
土木,どぼく,public works
木材,もくざい,"lumber, timber, wood"
荒木,あらき,"logs in bark, rough wood"
樹木,じゅもく,"trees and shrubs, arbour, arbor"
木曜,もくよう,Thursday
木星,もくせい,Jupiter (planet)
木製,もくせい,"wooden, made of wood"
来,らい,"next (year, etc.); since (last month, etc.)"
以来,いらい,"since, henceforth"
従来,じゅうらい,"up to now, so far, traditional, existing (e.g. equipment)"
将来,しょうらい,"future (usually near), prospects"
来年,らいねん,next year
本来,ほんらい,"essentially, naturally, by nature, in (and of) itself, originally"
来月,らいげつ,next month
来日,らいにち,"arrival in Japan, coming to Japan, visit to Japan"
未来,みらい,the future (usually distant); future tense; the world to come
来春,"らいしゅん, らいはる",next spring
車,くるま,"car, automobile, vehicle; wheel"
自動車,じどうしゃ,automobile
下車,げしゃ,"alighting (from train, bus, etc.), getting off"
乗用車,じょうようしゃ,"passenger vehicle, automobile"
自転車,"じてんしゃ, じでんしゃ",bicycle
車両,しゃりょう,"rolling stock, railroad cars, vehicles"
電車,でんしゃ,(electric) train
列車,れっしゃ,train (ordinary)
駐車場,ちゅうしゃじょう,"parking lot, parking place"
戦車,せんしゃ,tank (military vehicle)
話,はなし,"talk, speech, chat, story, conversation; discussions, negotiation, argument"
電話,でんわ,telephone
対話,たいわ,"interactive, interaction, conversation, dialogue"
話題,わだい,"topic, subject"
話し合い,はなしあい,"discussion, conference"
会話,かいわ,conversation
世話,せわ,"looking after, help, aid, assistance"
談話,だんわ,"a talk, conversation"
通話,つうわ,"telephone call, talking, calling; counter for telephone calls"
神話,しんわ,"myth, legend"
北,きた,north
北海道,ほっかいどう,Hokkaido (northernmost of the four main islands of Japan)
北京,ぺきん,"Beijing (China), Peking"
北朝鮮,きたちょうせん,North Korea
東北,"とうほく, ひがしきた",north-east; Northern most six prefectures of Honshu
南北,なんぼく,south and north
北方,ほっぽう,"northern (district), northward"
北部,ほくぶ,"north, northern part"
北東,"ほくとう, きたひがし",northeast
敗北,はいぼく,defeat; to be defeated
午後,ごご,"afternoon, p.m."
午前,ごぜん,"morning, a.m."
正午,しょうご,"noon, mid-day"
午,うま,"seventh sign of Chinese zodiac (The Horse, 11am-1pm, south, May)"
午,ひる,"noon, midday; daytime; lunch"
子午線,しごせん,the meridian
端午,たんご,Boy's Day celebration (May 5th)
午過ぎ,ひるすぎ,after noon
午后,ごご,"afternoon, p.m."
午後中,ごごじゅう,throughout the afternoon
書記,しょき,"clerk, secretary"
秘書,ひしょ,(private) secretary
報告書,ほうこくしょ,(written) report
文書,"ぶんしょ, もんじょ","document, writing, letter, paperwork, note, records, archives"
教科書,きょうかしょ,"textbook, text book"
書店,しょてん,"bookshop, bookstore"
著書,ちょしょ,"literary work, book"
白書,はくしょ,white paper
書類,しょるい,"documents, official papers"
図書館,"としょかん, ずしょかん",library
半,はん,half
時半,じはん,"about an hour, short time; half past (the hour)"
後半,こうはん,"second half, latter half"
半ば,なかば,"middle, half, semi, halfway, partly"
半分,はんぶん,half
前半,"ぜんはん, ぜんぱん",first half
大半,たいはん,"majority, mostly, generally"
過半数,かはんすう,majority
朝鮮半島,ちょうせんはんとう,Korean peninsula
半数,はんすう,half the number; haploid
白,しろ,"white; good guy, 'white hat'"
白書,はくしょ,white paper
白人,はくじん,"white person, Caucasian"
